Region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Пермский край,88665.3,92752.7,96681.8,95032.3,96419.0,91061.8,93689.9,92895.0,93004.3,,97969.6,94982.5
Кировская область,72961.8,73765.2,75882.8,76541.6,80164.2,77824.6,78531.1,76464.0,78619.7,,75674.4,74475.5
Нижегородская область,74017.5,77089.3,76666.8,77763.3,85987.4,85354.1,88052.2,86595.7,89351.0,,91213.6,91127.3
Оренбургская область,87635.2,87301.2,87976.4,84971.7,86731.3,82607.7,85029.8,81897.2,80949.3,,77900.1,79188.8
Пензенская область,85490.1,84393.9,81971.9,79456.3,79656.8,76883.2,75888.5,74627.0,73391.6,,74702.0,73083.1
Самарская область,86345.8,88239.4,87692.7,93211.6,97963.2,95877.2,101886.6,99712.4,104321.8,,103367.8,97537.6
Саратовская область,68479.1,67551.9,70963.9,70803.5,74740.2,73859.8,75484.1,73747.4,76242.2,,75122.7,74819.3
Ульяновская область,86113.8,90622.9,90674.4,88807.3,94933.3,89323.7,94297.8,96609.4,91231.5,,89166.6,87077.9
Курганская область,80131.6,84746.2,84155.2,82367.6,90144.3,83410.7,86277.6,81170.7,88537.3,,92519.4,96602.5
Свердловская область,71112.0,72007.1,73585.1,70389.2,73451.1,71274.3,74063.8,73483.5,76720.6,,72810.9,75208.5
Тюменская область,89269.9,91777.6,89907.5,88988.5,88368.0,83940.2,85474.0,85257.2,65435.1,,63754.2,64208.6
Ханты-Мансийский АО - Югра,88615.4,92296.5,90396.8,87974.1,92146.4,90612.9,91563.5,92638.7,94181.5,,88372.7,90676.1
Ямало-Ненецкий АО,115339.8,113789.9,111763.4,113692.9,112136.8,110513.5,119382.8,112736.4,118980.6,,109687.9,118256.9
Челябинская область,75428.6,78417.1,81975.9,82610.9,84530.0,86335.4,89058.6,88252.6,87666.2,,86235.0,88428.4
Республика Алтай,89065.9,89747.5,86436.4,77366.7,83514.5,84104.4,92338.2,88927.0,91145.9,,89426.5,89433.5
Республика Тыва,67744.2,64564.9,58810.9,56268.4,60138.9,56600.1,61637.5,62353.9,64915.6,,66480.2,60756.5
Республика Хакасия,80675.9,78246.6,79538.0,81135.4,82883.0,79303.9,82066.6,83482.8,87166.3,,83555.6,86026.5
Алтайский край,97448.8,101443.9,101913.3,102813.4,105709.1,100795.0,105022.5,108559.3,108846.7,,109652.6,112764.7
Красноярский край,75270.9,77299.7,80668.4,80159.8,83503.4,79563.9,83262.0,82700.4,80874.9,,78487.1,78434.8
Иркутская область,82466.6,85309.8,87295.2,85206.8,89010.5,88233.4,91979.4,92012.8,94560.2,,95218.9,99980.3
Кемеровская область - Кузбасс,72527.4,81689.0,82857.7,79377.2,83594.8,78126.0,83924.0,81723.0,89040.2,,87091.3,86241.9
Новосибирская область,69670.3,67468.0,72814.6,72467.8,75729.6,72209.4,77058.8,72525.0,76991.1,,75151.2,77378.7
Омская область,82318.7,84099.7,82898.7,83687.8,84997.5,82581.0,84883.4,96029.2,99533.7,,92085.3,85381.7
Томская область,79273.8,78655.9,66719.8,63900.4,64455.9,67962.7,81720.5,71083.8,72489.6,,71330.7,70726.0
Республика Бурятия,61628.5,63451.1,63679.4,64085.3,67643.6,67309.7,64450.8,65494.8,64816.4,,60453.1,61456.1
Республика Саха,88490.3,95711.1,93978.5,98707.9,101588.8,103305.3,104607.9,106631.0,110656.4,,102664.3,104555.1
Забайкальский край,63729.2,65947.0,64323.1,64388.8,72702.6,73500.2,72287.2,73605.1,73589.1,,69517.5,65922.4
Камчатский край,83201.9,80497.1,80932.8,82405.3,86701.6,81134.3,89507.5,84057.5,82797.9,,81479.0,77458.3
Приморский край,72327.7,71834.6,76123.4,77131.1,81993.4,78697.3,81177.9,76797.4,79481.4,,70477.1,72917.4
Хабаровский край,69882.3,69385.9,71536.2,69904.3,75155.5,70776.8,73190.8,72945.8,72080.0,,66723.3,67303.6
Амурская область,64557.6,68420.6,71310.1,71124.4,76748.7,75160.6,79064.5,82511.1,80969.9,,83919.0,83412.0
Магаданская область,85523.3,84654.2,82734.3,86130.0,87971.9,79130.9,75381.7,76822.3,77484.6,,70416.7,67012.9
Сахалинская область,90598.4,87987.4,87938.7,83483.1,90961.6,90331.7,88399.3,90039.4,82285.7,,80058.9,83995.5
Еврейская автономная область,61272.2,62005.0,64329.4,63805.9,69618.4,67636.0,70835.0,67450.6,66970.1,,66987.8,70367.2
Чукотский АО,122398.8,119782.2,117329.5,116861.6,120359.6,126768.3,125475.7,117006.0,112036.2,,107627.8,128506.5
